neighborhood,sample_count,avg_list_price,avg_estimator_final,avg_estimator_range,avg_list_minus_estimator
Abbottsfield,5.0,186676.0,29570285.368,14184758.608,-29383609.368
Albany,4.0,345475.0,669125.65,225051.71999999997,-323650.65
Alberta Avenue,11.0,351700.0,349344.20636363636,162259.1109090909,2355.79363636364
Alces,8.0,517350.0,382632.42125,201566.94,134717.57875
Aldergrove,5.0,377080.0,411722.846,149753.84,-34642.846000000005
Allard,12.0,504750.0,593917.9208333333,224426.19000000003,-89167.92083333334
Allendale,13.0,554323.0769230769,560524.5223076923,262764.28923076927,-6201.445384615392
Ambleside,13.0,379546.1538461539,1484021.8246153845,679038.033846154,-1104475.670769231
Anthony Henday South,7.0,489642.85714285716,420105.7442857143,185627.74285714288,69537.11285714289
Anthony Henday South Blackburne,2.0,180950.0,182380.235,67276.78,-1430.2350000000006
Anthony Henday South East,1.0,2800786.0,628991.86,342171.58,2171794.14
Anthony Henday Terwillegar,4.0,273350.0,284330.7525,136478.76,-10980.752499999988
Argyll,4.0,655725.0,489028.9375,186994.06499999997,166696.0625
Aspen Gardens,11.0,679372.7272727273,663626.1281818182,295690.72,15746.599090909089
Aster,5.0,411298.8,45005800.876,24483155.680000007,-44594502.076
Athlone,11.0,339416.36363636365,362615.9954545455,161130.62727272726,-23199.63181818182
Avonmore,6.0,452250.0,539863.7316666667,260517.88333333333,-87613.73166666664
Balwin,4.0,429925.0,281710.175,116217.0,148214.825
Bannerman,8.0,405774.875,260340.98625,100924.02,145433.88875
Baranow,5.0,242613.8,1411935.9880000001,672627.2239999999,-1169322.188
Baturyn,10.0,388449.8,440167.249,183742.388,-51717.44900000001
Beacon Heights,8.0,348400.0,465290.9525,204112.21750000003,-116890.95250000001
Beaumaris,8.0,266200.0,465990.2425,223675.3175,-199790.24250000002
Belgravia,10.0,766098.0,637955.23,294473.904,128142.77000000002
Belle Rive,5.0,395471.0,411991.068,141637.744,-16520.068000000017
Bellevue,3.0,700933.3333333334,243616.15666666665,114562.96,457317.1766666666
Belmead,9.0,246600.0,1502595.111111111,704633.1955555555,-1255995.111111111
Belmont,5.0,278300.0,884894.95,390182.12799999997,-606594.95
Belvedere,10.0,284060.0,255349.796,102742.698,28710.204000000005
Beverly Heights,13.0,433638.46153846156,373086.04615384614,159725.4169230769,60552.41538461538
Bisset,7.0,516257.0,429743.8585714285,168876.50857142854,86513.14142857144
Blackburne,4.0,523600.0,825857.0549999999,361389.90499999997,-302257.055
Blackmud Creek,2.0,742949.5,631695.8200000001,239104.02000000002,111253.68
Blackmud Creek Neighbourhood,13.0,300484.6153846154,308744.6223076923,120501.34461538463,-8260.006923076933
Blatchford,4.0,420324.25,1614641.72,834565.1699999999,-1194317.47
Blue Quill,4.0,318200.0,249284.28499999997,84261.73000000001,68915.71500000003
Blue Quill Estates,1.0,425000.0,434109.33,151932.94,-9109.330000000016
Bonaventure Industrial,2.0,314950.0,83332.83,45333.06,231617.16999999998
Bonnie Doon,11.0,443963.54545454547,658369.8136363636,305829.71272727277,-214406.26818181816
Boyle Street,10.0,372720.0,383521.131,168549.176,-10801.131000000005
Brander Gardens,9.0,505461.55555555556,321140.4911111111,131258.89555555553,184321.06444444443
Breckenridge Greens,4.0,430950.0,348863.9975,131577.675,82086.0025
Brintnell,6.0,476200.0,457378.0366666667,144055.51333333334,18821.96333333332
Britannia Youngstown,13.0,574153.8461538461,1169184.6915384615,557790.2307692309,-595030.8453846154
Brookside,5.0,1680960.0,657326.662,279623.316,1023633.3379999999
Bulyea Heights,8.0,629512.5,736877.735,324820.4375,-107365.23499999999
Caernarvon,20.0,444249.7,336371.84500000003,135483.76400000002,107877.85500000001
Calder,12.0,448216.5,379420.98416666663,176341.03166666665,68795.51583333334
Calgary Trail South,3.0,941300.0,5254230.31,2858301.28,-4312930.31
Callaghan,12.0,492415.75,558503.7333333333,225344.28666666665,-66087.98333333335
Callingwood North,5.0,226919.6,227943.68199999997,74384.70800000001,-1024.0819999999949
Cameron Heights,12.0,1629474.9166666667,1085432.9675,497585.0533333334,544041.9491666666
Canon Ridge,10.0,190680.0,194516.184,77118.862,-3836.1839999999997
Canora,12.0,1014000.0,397355.75333333336,186590.00833333333,616644.2466666667
Canossa,11.0,521162.0909090909,461139.39272727276,183479.52363636362,60022.698181818174
Capilano,14.0,426592.78571428574,512194.76214285713,239200.50714285712,-85601.97642857143
Carlisle,7.0,339217.28571428574,468086.0457142857,200920.58285714287,-128868.76000000001
Carlton,18.0,415433.27777777775,459643.43944444443,151283.1977777778,-44210.16166666665
Carter Crest,5.0,566937.6,554413.8060000001,255247.24400000004,12523.793999999983
Cashman,2.0,294998.0,107709.7,58594.07999999999,187288.3
Casselman,10.0,215640.0,217927.49,78114.03400000001,-2287.489999999998
Cavanagh,12.0,470616.6666666667,541330.1158333333,200954.37000000002,-70713.44916666667
Central McDougall,9.0,248222.33333333334,748956.3366666666,351513.2555555555,-500734.00333333324
Chambery,12.0,738707.9166666666,557866.0291666667,189220.83833333335,180841.88749999998
Chappelle,10.0,572689.5,519149.47599999997,210433.116,53540.024
Chappelle Area,4.0,493850.0,413703.025,141853.24000000002,80146.975
Charlesworth,13.0,413454.0,520030.17,191254.9384615384,-106576.17
Clareview,1.0,345000.0,5222020.16,2506569.68,-4877020.16
Clareview Business Park,7.0,161171.42857142858,113702.63285714285,38552.34857142858,47468.79571428573
Clareview Town Centre,4.0,178950.0,168937.0575,76345.75499999999,10012.942500000005
Cloverdale,11.0,473299.7272727273,280809.8645454545,134788.73636363636,192489.86272727276
Crawford Plains,3.0,611600.0,401607.42,159906.56,209992.58
Crestwood,7.0,1972364.2857142857,1087708.0914285714,522099.8857142857,884656.1942857143
Cromdale,9.0,739466.6666666666,631062.4666666667,295694.2911111111,108404.20000000001
Crystallina Nera East,2.0,84450.0,14633559.35,4853670.919999998,-14549109.35
Crystallina Nera West,3.0,519933.3333333333,11699305.496666664,5594424.84,-11179372.163333332
Cumberland,10.0,385850.0,402615.87200000003,130626.23799999998,-16765.872000000003
Cy Becker,6.0,341148.3333333333,617503.0950000001,296401.48666666663,-276354.7616666667
Daly Grove,6.0,464166.6666666667,439965.8383333333,188112.15000000002,24200.82833333335
Davies Industrial West,2.0,548950.0,1137.4,618.74,547812.6
Dechene,2.0,577000.0,534104.2949999999,185720.99,42895.705000000016
Decoteau,1.0,369000.0,1124436.58,539729.56,-755436.5800000001
Delton,12.0,599141.6666666666,234489.14833333335,108947.07833333332,364652.5183333333
Delwood,13.0,541092.3076923077,394621.07384615386,157316.86615384617,146471.23384615386
Desrochers,6.0,534933.1666666666,375510.055,139571.91333333333,159423.11166666666
Desrochers Area,2.0,471200.0,461152.36,170610.45999999996,10047.639999999985
Dominion Industrial,3.0,1443000.0,1587714.4166666667,863716.6399999998,-144714.41666666674
Donsdale,5.0,1246360.0,1068942.934,486104.24000000005,177417.06600000002
Dovercourt,8.0,876600.0,434896.75875,181240.40000000002,441703.24124999996
Downtown,29.0,345009.5517241379,9516906.681724137,5092922.984827586,-9171897.129999999
Duggan,9.0,451366.55555555556,496887.41444444447,185905.14666666664,-45520.858888888884
Dunluce,15.0,365059.13333333336,344631.142,129594.99200000001,20427.991333333317
Eastgate Business Park,6.0,560600.0,6026139.216666666,3278219.7300000004,-5465539.216666667
Eastwood,18.0,493749.8333333333,420436.2211111111,201809.38444444447,73313.61222222222
Eaux Claires,5.0,218720.0,800034.496,370570.08,-581314.496
Ebbers,10.0,315848.9,2006870.2030000002,921221.788,-1691021.303
Edgemont,7.0,488100.0,401556.4285714286,165428.90571428573,86543.57142857143
Edmonton Energy And Technology Park,12.0,1901194.8333333333,46856.32666666666,22491.039999999997,1854338.5066666668
Edmonton Research and Development Park,2.0,469900.0,5291317.96,2878476.98,-4821417.96
Ekota,5.0,298323.2,362556.82,140449.2,-64233.619999999995
Ellerslie Crossing,12.0,468250.0,744394.4433333334,301355.5183333333,-276144.44333333336
Ellerslie Industrial,1.0,8400000.0,2410056.85,1087533.8800000001,5989943.15
Elmwood,5.0,486540.0,389286.582,162335.92799999999,97253.418
Elmwood Park,3.0,1329866.6666666667,742968.1366666667,346817.38666666666,586898.5299999999
Elsinore,10.0,540310.0,499416.52800000005,189516.314,40893.471999999994
Empire Park,13.0,255715.3076923077,274798.64384615386,125155.77384615384,-19083.336153846154
Ermineskin,9.0,376832.22222222225,989225.2444444443,457944.74,-612393.0222222223
Evansdale,5.0,347981.8,4060300.6240000003,1027139.6759999997,-3712318.824
Evergreen,7.0,113914.28571428571,41020.25142857143,19689.725714285716,72894.03428571428
Forest Heights,19.0,1207852.5789473683,1115708.5647368422,521252.6684210527,92144.01421052634
Fraser,3.0,532266.6666666666,487335.12000000005,204736.34666666665,44931.546666666654
Fulton Place,12.0,446607.4166666667,367922.2241666667,156045.50666666662,78685.19249999999
Gagnon Estate Industrial,1.0,599000.0,3445463.45,1874332.1199999996,-2846463.45
Gariepy,4.0,876000.0,643768.2150000001,256968.04499999998,232231.78499999997
Garneau,21.0,477166.09523809527,1802914.8552380954,849196.2971428571,-1325748.76
Garside Industrial,2.0,497450.0,571138.78,261850.87999999995,-73688.78000000003
Glastonbury,9.0,391366.8888888889,496380.5433333333,182463.5,-105013.65444444446
Glengarry,7.0,455042.85714285716,407296.35714285716,177003.27428571432,47746.50000000001
Glenora,12.0,1914716.5833333333,1389728.9825,667069.91,524987.6008333333
Glenridding Heights,13.0,472336.92307692306,301685.0838461538,119055.51384615384,170651.8392307692
Glenridding Ravine,6.0,616216.6666666666,604812.2133333333,209597.69666666666,11404.453333333347
Glenwood,10.0,493109.9,399924.324,173680.874,93185.576
Gold Bar,2.0,467700.0,489714.13,187448.13999999996,-22014.129999999976
Goodridge Corners,6.0,626983.3333333334,161371.94166666665,52582.84333333333,465611.39166666666
Gorman,3.0,514933.3333333333,553549.8466666667,255934.36666666667,-38616.51333333334
Government Centre,6.0,310150.0,394837.97666666674,200751.1433333333,-84687.97666666668
Grandview Heights,5.0,671860.0,927079.7720000001,405093.77599999995,-255219.77200000003
Granville,12.0,720900.0833333334,519244.2941666667,212156.18999999997,201655.78916666668
Graydon Hill,12.0,484683.1666666667,430073.3416666666,160556.32666666666,54609.825000000004
Greenfield,5.0,524340.0,498614.70199999993,226864.696,25725.29800000001
Griesbach,12.0,604982.5,576551.8825,248837.31333333335,28430.617500000004
Grovenor,9.0,767977.7777777778,535019.9755555555,228737.02666666667,232957.8022222222
Haddow,13.0,468661.46153846156,603816.3730769231,240280.8046153846,-135154.9115384615
Hairsine,10.0,373881.0,349255.531,118745.91399999999,24625.46900000001
Hawks Ridge,11.0,667099.4545454546,463417.46181818185,182783.29090909092,203681.99272727277
Hays Ridge,10.0,1469840.0,1187986.607,533150.1259999999,281853.393
Hays Ridge Area,2.0,1147500.0,1166278.745,514842.04000000004,-18778.74500000011
Hazeldean,3.0,556600.0,486447.14333333337,207478.65333333335,70152.85666666664
Henderson Estates,1.0,1425000.0,871016.4,286074.30000000005,553983.6
Heritage Valley Town Centre,4.0,2204551.75,1699023.415,904067.025,505528.3350000001
High Park,6.0,677214.6666666666,599940.2233333333,277106.7866666667,77274.44333333333
Highlands,12.0,703933.3333333334,529818.9333333333,234807.29166666666,174114.40000000002
Hillview,4.0,837729.75,449921.27999999997,164097.19499999998,387808.47
Hodgson,6.0,542783.3333333334,673592.6416666667,289029.79333333333,-130809.30833333333
Hollick-Kenyon,4.0,477422.0,485011.895,168812.18,-7589.8949999999895
Holyrood,17.0,667688.1764705882,398526.8111764706,169294.85294117648,269161.36529411766
Homesteader,13.0,282698.3846153846,317488.26384615386,129331.04153846152,-34789.87923076923
Hudson,3.0,499633.0,480818.39999999997,220018.74,18814.600000000017
Huff Bremner Estate Industrial,1.0,1499900.0,1659746.44,902902.0600000003,-159846.43999999994
Idylwylde,10.0,966870.0,820021.5549999999,390603.316,146848.44499999998
Inglewood,7.0,647369.7142857143,439608.5571428571,205940.44285714286,207761.15714285715
Jackson Heights,12.0,465499.0,505140.205,175227.5883333333,-39641.204999999994
Jamieson Place,6.0,550400.0,498001.92333333334,168157.48,52398.07666666667
Jasper Park,11.0,364308.0,316309.86454545456,135489.76909090907,47998.13545454545
Kameyosek,5.0,414379.8,4811925.586,2298599.816,-4397545.786
Kenilworth,6.0,1009966.6666666666,789386.9566666667,406716.52999999997,220579.71
Kensington,9.0,349377.77777777775,349085.7688888889,136998.15333333332,292.0088888888907
Kernohan,4.0,293450.0,252906.735,89680.43500000001,40543.265
Keswick,7.0,403171.0,1256112.2142857143,567932.0942857142,-852941.2142857143
Kildare,11.0,322961.8181818182,373140.82636363636,129913.39272727273,-50179.00818181817
Kilkenny,15.0,350253.3333333333,459461.954,192480.03066666666,-109208.62066666667
Killarney,8.0,426737.375,428266.14625,180366.515,-1528.7712500000052
King Edward Park,10.0,537602.8,438797.089,208086.828,98805.71100000001
Kinglet Gardens,9.0,616265.2222222222,455516.9555555556,198459.52444444445,160748.26666666666
Kiniski Gardens,10.0,424689.9,422157.426,151365.06,2532.4740000000106
Kirkness,6.0,364800.0,394145.5833333333,147090.7333333333,-29345.583333333332
Klarvatten,7.0,454305.71428571426,456153.1357142857,176256.2257142857,-1847.4214285714302
La Perle,8.0,394887.375,314286.01375,110438.08499999999,80601.36125000002
Lago Lindo,3.0,392299.6666666667,420901.1166666667,150614.91333333336,-28601.45000000001
Lansdowne,14.0,436371.4285714286,821512.6185714286,301161.98142857145,-385141.19
Larkspur,7.0,383971.4285714286,399359.62142857147,137648.06285714285,-15388.192857142862
Lauderdale,6.0,342866.6666666667,408801.12166666664,146008.37,-65934.455
Laurel,27.0,454093.9259259259,539328.5877777777,211215.59703703705,-85234.66185185185
Laurier Heights,3.0,1246600.0,661962.2899999999,317741.9000000001,584637.7100000001
Lee Ridge,7.0,489882.14285714284,345227.21857142856,132667.60285714286,144654.92428571428
Leger,3.0,428292.6666666667,557197.3266666667,174099.77333333332,-128904.65999999999
Lewis Farms Industrial,2.0,1745000.0,893275.135,485941.67000000004,851724.865
Lorelei,5.0,382740.0,1584262.3960000002,731458.1879999998,-1201522.3960000002
Lymburn,9.0,288277.77777777775,286493.52,95881.64666666667,1784.2577777777688
Lynnwood,3.0,581300.0,503258.9166666667,166416.80000000002,78041.08333333333
MacEwan,7.0,422128.5714285714,360184.52999999997,120601.20857142856,61944.041428571436
Mactaggart,11.0,421690.8181818182,696050.16,319424.6890909091,-274359.3418181818
Magrath Heights,12.0,738032.3333333334,899607.5825,411114.0,-161575.24916666668
Malmo Plains,7.0,790914.2857142857,279997.7585714286,121203.13142857142,510916.52714285714
Maple,11.0,615872.7272727273,579180.3918181817,245564.06727272726,36692.33545454546
Maple Ridge,3.0,147633.33333333334,120506.25,45830.48,27127.083333333332
Marquis,2.0,464730.5,362095.525,156831.77,102634.975
Matt Berry,4.0,479475.0,505414.595,153160.89,-25939.594999999987
Mattson,7.0,510256.4285714286,474191.5514285714,252592.25142857147,36064.87714285716
Mayfield,12.0,580924.9166666666,356506.54000000004,154796.28833333333,224418.37666666668
Mayliewan,1.0,589000.0,457459.74,138581.52000000002,131540.26
McCauley,19.0,351473.05263157893,352467.54421052634,163746.58526315787,-994.4915789473836
McConachie,4.0,346997.0,601287.245,230766.30500000005,-254290.24500000002
McIntyre Industrial,3.0,522322.3333333333,5516180.1866666665,3000802.026666667,-4993857.8533333335
McKernan,8.0,670962.5,676220.09,311122.985,-5257.589999999989
McLeod,8.0,742337.5,413929.9825,131912.69,328407.5175
McNamara Industrial,1.0,247000.0,268451.64,146037.69999999998,-21451.640000000014
McQueen,5.0,431360.0,467005.164,174266.26400000002,-35645.164000000004
Meadowlark Park,5.0,447720.0,440089.124,155741.08000000002,7630.876000000001
Menisa,5.0,391560.0,448642.27599999995,157692.892,-57082.276
Meyokumin,6.0,390633.3333333333,452757.46666666673,192431.71333333335,-62124.13333333335
Meyonohk,12.0,285979.0833333333,944484.4375,438869.2316666667,-658505.3541666666
Michaels Park,5.0,205679.8,223039.17600000004,73059.80800000002,-17359.376
Mill Woods,8.0,316450.0,1043983.38375,483298.6299999999,-727533.38375
Mill Woods Town Centre Area,5.0,299780.0,151792.644,72860.472,147987.356
Miller,12.0,383833.3333333333,955732.2858333333,416418.7183333333,-571898.9525
Minchau,5.0,391669.6,450265.286,164463.472,-58595.686
Mistatim Industrial,2.0,725000.0,9237373.655,5025131.27,-8512373.655
Mitchell Industrial,2.0,459000.0,1704.71,927.3599999999999,457295.29
Montrose,11.0,387990.9090909091,257727.1709090909,118942.0818181818,130263.73818181819
Newton,3.0,416600.0,334506.53,160563.13333333333,82093.46999999999
North Glenora,7.0,619285.7142857143,489919.5442857143,213516.30857142853,129366.17000000001
Northern Mature Area,5.0,466939.8,410196.98199999996,196894.55200000005,56742.818000000014
Northmount,5.0,310320.0,342445.38399999996,139245.428,-32125.384
Northwest Industrial,11.0,673299.9090909091,1452398.211818182,780885.8581818182,-779098.3027272727
Ogilvie Ridge,2.0,348495.0,1162.35,557.92,347332.65
Oleskiw,8.0,835337.5,764947.79875,276240.095,70389.70125000003
Ormsby Place,12.0,337083.3333333333,446322.305,184255.32166666666,-109238.97166666668
Ottewell,14.0,565035.5714285715,463491.15285714285,199005.29142857142,101544.41857142856
Overlanders,3.0,409296.0,297438.6933333333,96839.41999999998,111857.30666666666
Oxford,15.0,406319.3333333333,488514.1453333333,209707.90133333334,-82194.81199999999
Ozerna,9.0,492732.0,478230.40888888884,172592.06,14501.591111111105
Paisley,15.0,522787.4,486563.39266666665,187597.8106666667,36224.00733333334
Papaschase Industrial,2.0,632450.0,6530830.13,3552771.5999999996,-5898380.13
Parkallen,9.0,607533.3333333334,584592.7633333333,267444.9622222222,22940.57
Parkdale,6.0,313266.6666666667,248796.97333333336,118958.48666666668,64469.69333333333
Parkview,15.0,2070277.8666666667,1057530.4773333333,507614.62799999997,1012747.3893333334
Parsons Industrial,6.0,264466.0,94606.52,51465.94,169859.47999999998
Patricia Heights,2.0,1299900.0,542476.135,260388.53999999998,757423.865
Pembina,9.0,385200.0,1119411.8433333333,521515.5933333333,-734211.8433333334
Pilot Sound,1.0,389900.0,371693.98,106612.58000000002,18206.02000000002
Pintail Landing,4.0,553124.0,159348.18,68016.76500000001,393775.82
Place LaRue,4.0,505266.75,9057334.2175,4916207.415,-8552067.4675
Pleasantview,14.0,624599.0,612446.7814285714,285856.26,12152.218571428584
Pollard Meadows,6.0,222633.33333333334,301212.62166666664,96636.38333333332,-78579.28833333332
Potter Greens,3.0,483233.3333333333,575727.01,232528.53333333333,-92493.67666666665
Poundmaker Industrial,1.0,215000.0,5113795.07,2781904.52,-4898795.07
Prince Charles,9.0,607466.4444444445,407317.0288888889,191314.74666666667,200149.41555555558
Prince Rupert,6.0,211616.66666666666,1881462.6683333332,917072.9566666667,-1669846.0016666667
Pylypow Industrial,3.0,354633.3333333333,3058197.64,1663659.5133333337,-2703564.3066666666
Quarry Ridge,9.0,634363.6666666666,678645.5388888889,348405.3377777778,-44281.87222222225
Queen Alexandra,11.0,699509.0909090909,677828.7890909091,323016.50545454543,21680.30181818182
Queen Mary Park,9.0,611166.6666666666,1728583.0655555555,829719.8711111111,-1117416.3988888888
Quesnell Heights,1.0,1149500.0,899345.56,431685.86,250154.43999999994
Ramsay Heights,6.0,800766.5,520103.0966666667,244958.02,280663.4033333333
Rhatigan Ridge,6.0,785633.3333333334,763236.0666666668,331627.2866666666,22397.266666666663
Richfield,7.0,374914.28571428574,412330.19428571424,159613.25999999998,-37415.90857142856
Richford,1.0,899900.0,669864.75,265862.9199999999,230035.25
Rideau Park,5.0,260540.0,329532.21,124539.79199999999,-68992.20999999999
Rio Terrace Neighbourhood,15.0,985599.9333333333,648447.434,266925.0853333333,337152.49933333334
Ritchie,16.0,537950.0,452209.77,214789.75125,85740.23000000001
River Valley Gold Bar,1.0,459900.0,497621.09,218432.86000000004,-37721.090000000026
River Valley Kendal,2.0,734400.0,563458.085,232356.22,170941.91500000004
River Valley Lessard North,1.0,264900.0,244334.26,72594.66000000003,20565.73999999999
River Valley Riverside,1.0,145900.0,153790.14,54232.139999999985,-7890.140000000014
River Valley Terwillegar,1.0,364900.0,398950.07,120614.82,-34050.07000000001
River Valley Whitemud,2.0,138250.0,98641.8,53661.14,39608.2
River's Edge,9.0,651635.1111111111,3573103.807777778,1720692.168888889,-2921468.696666667
Riverdale,9.0,707588.8888888889,573904.8644444444,270693.8577777778,133684.02444444445
Rosenthal,7.0,966242.7142857143,515306.4042857143,215213.38571428572,450936.31
Rossdale,8.0,432937.5,442026.84875,208322.2075,-9089.348750000001
Rosslyn,12.0,322191.5833333333,357797.81833333336,121732.27,-35606.23499999999
Royal Gardens,19.0,263794.05263157893,468925.8247368421,201492.83684210526,-205131.77210526317
Rundle Heights,9.0,138366.66666666666,248577.46888888886,116430.76666666663,-110210.80222222222
Rural North East South Sturgeon,1.0,1285000.0,1002267.07,545233.2799999999,282732.93000000005
Rutherford,10.0,454604.5,481501.164,180240.168,-26896.663999999982
Sakaw,9.0,473242.3333333333,395163.71444444446,164435.97777777782,78078.61888888889
Satoo,8.0,478687.5,401751.68,148820.5925,76935.82
Schonsee,3.0,391133.3333333333,411192.58666666667,158331.6066666667,-20059.253333333338
Secord,11.0,595284.7272727273,563217.8745454545,204047.15272727274,32066.85272727271
Sheffield Industrial,1.0,1100000.0,1600135.07,870473.48,-500135.07000000007
Sherbrooke,2.0,342500.0,347373.685,133321.45,-4873.684999999998
Sherwood,2.0,257400.0,248064.065,111302.41,9335.93499999999
Silver Berry,19.0,493279.7894736842,454893.45473684213,157914.1589473684,38386.3347368421
Skyrattler,5.0,296574.4,274699.21400000004,87738.168,21875.186000000005
South Edmonton Common,1.0,399286.0,366725.39,102936.02000000002,32560.609999999986
South Industrial District,8.0,137862.5,235624.98625000002,110094.47499999999,-97762.48625000002
South Terwillegar,13.0,290006.6923076923,508478.57923076925,170163.91384615382,-218471.88692307693
Spruce Avenue,20.0,714294.4,2779357.877,1330485.374,-2065063.477
Starling,5.0,629980.0,400863.442,159612.27200000003,229116.55800000002
Steinhauer,3.0,633966.6666666666,429412.14999999997,160307.16666666666,204554.51666666663
Stillwater,1.0,636990.0,382690.45,183691.41999999998,254299.55
Strathcona,14.0,632919.6428571428,487995.77785714285,227544.79857142858,144923.86500000002
Strathcona Industrial Park,1.0,184900.0,4692354.16,2552640.66,-4507454.16
Strathcona Junction,1.0,619900.0,188194.66,102377.9,431705.33999999997
Strathearn,7.0,1353985.7142857143,899951.87,431976.8971428572,454033.84428571427
Suder Greens,7.0,550891.0,509942.71571428573,176424.66,40948.28428571427
Summerlea,6.0,232283.16666666666,245117.43166666667,84329.61333333333,-12834.265000000009
Summerside,22.0,482750.6818181818,540953.2686363637,199639.70272727273,-58202.58681818182
Sunwapta Industrial,1.0,195999.0,11045566.04,6008787.92,-10849567.04
Sweet Grass,9.0,190844.22222222222,495564.2588888889,221375.71555555554,-304720.0366666667
Tamarack,9.0,495999.8888888889,3150066.8588888887,811640.8288888889,-2654066.97
Tawa,6.0,317883.3333333333,12792552.893333333,5892764.990000001,-12474669.56
Terra Losa,15.0,354546.6666666667,3910689.3386666668,1867707.0293333333,-3556142.672
Terrace Heights,7.0,482414.28571428574,510854.22571428574,239674.99142857146,-28439.94000000001
Terwillegar Towne,16.0,500392.3125,707751.23,323126.31,-207358.9175
The Hamptons,20.0,527418.5,574248.5655,222454.44000000003,-46830.0655
The Orchards At Ellerslie,8.0,569199.875,504338.94375,172062.16,64860.93125
The Orchards at Ellerslie,4.0,496572.0,477460.1,205466.39,19111.899999999994
The Uplands,2.0,474499.0,549355.6,263690.67999999993,-74856.59999999998
Thorncliff,5.0,392720.0,469028.708,170318.072,-76308.708
Tipaskan,5.0,334658.0,259935.538,88092.71999999999,74722.46200000001
Trumpeter,13.0,516876.92307692306,582334.1815384615,237434.05230769233,-65457.258461538455
Tweddle Place,5.0,367760.0,388485.336,154390.024,-20725.33599999999
Twin Brooks,19.0,480631.5789473684,566340.207368421,222238.92947368423,-85708.62842105264
University of Alberta,2.0,1182450.0,10925902.799999999,5925250.009999999,-9743452.799999999
University of Alberta South Campus,1.0,779990.0,5113883.91,2781952.84,-4333893.91
Virginia Park,8.0,508915.125,26726185.2425,12414006.597499998,-26217270.1175
Walker,12.0,523041.6666666667,530860.2225,187665.24,-7818.5558333333465
Webber Greens,1.0,459900.0,505016.87,175332.62000000005,-45116.869999999995
Wedgewood Heights,8.0,1140236.0,870118.22375,390177.655,270117.77625
Weinlos,18.0,319074.94444444444,373668.7961111111,142868.32666666666,-54593.85166666667
Wellington,4.0,437449.75,406710.865,172387.19,30738.885000000024
West Jasper Place,12.0,233558.25,976358.3808333334,455631.76499999996,-742800.1308333334
West Jasper Place (Neighbourhood),8.0,992837.375,908333.25375,433371.395,84504.12125000001
West Meadowlark Park,5.0,280515.4,240415.482,86071.04,40099.918000000005
Westbrook Estates,4.0,3543225.0,1041037.6299999999,566324.47,2502187.37
Westmount,13.0,454807.6923076923,518755.9861538462,236461.20153846155,-63948.29384615385
Westridge,4.0,1162200.0,749581.3425,310994.66000000003,412618.6575
Westview Village,10.0,124210.0,567027.743,228472.65600000002,-442817.7430000001
Westwood,6.0,552781.6666666666,371795.6866666667,165669.00666666668,180985.97999999998
Windermere,2.0,1167375.0,969507.615,399950.49000000005,197867.38500000007
Windermere Neighbourhood,14.0,555732.1428571428,751234.3857142858,343349.65857142856,-195502.24285714282
Windermere Neighbourhood 5,1.0,439900.0,4618760.48,2512605.7,-4178860.4800000004
Windsor Park,9.0,1730944.4444444445,1695644.7455555554,813909.48,35299.69888888895
Woodcroft,4.0,227623.75,210869.4925,101217.36000000002,16754.2575
Wîhkwêntôwin,2.0,126500.0,3180307.66,1721952.7799999996,-3053807.66
Yellowbird,6.0,558616.6666666666,513157.0516666667,224166.1633333333,45459.61500000002
Yellowhead Corridor East,7.0,301955.71428571426,931746.1757142858,488238.9028571429,-629790.4614285715
Yellowhead Corridor West,1.0,129500.0,855803.43,410785.64,-726303.43
York,6.0,302233.3333333333,347145.6616666667,152206.34666666665,-44912.32833333333
